entry	sub	record	desc	stride	verts	indices	restarts	minx	maxx	miny	maxy	minz	maxz
2	14	29	0	28	16	19	3	-13.7015	13.7015	-3.1238	3.1238	-34.1838	24.6807
2	14	30	0	28	18	22	4	-45.3734	55.7419	-6.0895	6.5431	-22.7098	0.0002
2	14	31	0	28	34	40	6	-43.3341	70.3810	-7.2740	5.6193	-53.8184	-3.8481
2	14	32	0	28	18	22	4	-43.0010	59.3765	-2.1351	1.3809	-29.9177	-4.9283
2	14	33	0	28	16	19	3	-13.7015	13.7015	-3.1238	3.1238	-34.1837	24.6808
2	14	34	0	28	18	22	4	-45.3735	55.7419	-6.0895	6.5431	0.0001	22.7100
2	14	35	0	28	34	40	6	-43.3344	70.3780	-7.2740	5.6193	3.8507	53.8223
2	14	36	0	28	18	22	4	-43.0015	59.3732	-2.1345	1.3815	4.9337	29.9145
2	14	37	0	28	16	19	3	-13.7015	13.7015	-3.1238	3.1238	-34.1837	24.6809
2	14	38	0	28	18	22	4	-45.3735	55.7420	-6.0895	6.5431	-22.7099	0.0000
2	14	39	0	28	34	40	6	-43.3342	70.3810	-7.2740	5.6193	-53.8186	-3.8483
2	14	40	0	28	18	22	4	-43.0010	59.3765	-2.1351	1.3809	-29.9180	-4.9285
2	14	41	0	28	62	73	11	-90.0368	118.6824	-3.5090	10.7441	-69.9863	8.1961
2	14	42	0	28	62	73	11	-118.6824	90.0368	-3.5090	10.7441	-69.9863	8.1961
2	14	43	0	28	8	9	1	-45.6895	60.6824	-1.0041	1.5048	-0.5666	32.7611
2	14	44	0	28	8	9	1	-45.6894	60.6823	-1.0041	1.5048	-32.7611	0.5666
2	14	45	0	28	8	9	1	-60.6912	45.6891	-1.0038	1.5048	-32.7811	0.5666
2	14	46	0	28	8	9	1	-60.7000	45.6886	-1.0035	1.5048	-32.8013	0.5666
2	14	47	0	28	8	9	1	-84.9760	100.1412	-1.4974	1.4833	-0.4633	32.9523
2	14	48	0	28	14	17	3	-85.0147	100.1411	-1.4974	1.4833	-32.9524	0.4632
2	14	49	0	28	8	9	1	-60.6912	45.6891	-1.0038	1.5048	-0.5666	32.7811
2	14	50	0	28	8	9	1	-60.7000	45.6887	-1.0035	1.5048	-0.5666	32.8013
2	15	0	0	28	1125	1541	305	-1204.7250	1204.7250	-95.8118	74.1266	-710.3382	314.3155
2	15	1	0	28	8	9	1	-82.5688	125.9462	-2.6922	2.4927	-69.9914	-0.7850
2	15	2	0	28	8	9	1	-125.9462	82.5688	-2.6922	2.4927	-69.9914	-0.7850
2	15	3	0	28	18	22	4	135.9273	355.7938	-5.5443	10.2921	-48.7009	25.2264
2	15	4	0	28	18	22	4	-85.2276	134.6387	-0.1608	15.6757	-1.1846	72.7427
2	15	5	0	28	18	22	4	-137.0245	188.1161	0.5039	15.6209	-0.6825	72.7579
2	15	6	0	28	18	22	4	-137.0246	188.1161	0.5039	15.6209	-72.7579	0.6825
2	16	0	0	28	18024	24662	3881	-481.8900	481.8900	-38.3247	29.6507	-307.4570	125.3900
2	16	0	1	28	96	119	23	-32.7412	32.7411	-6.6815	12.0446	-89.3293	93.0533
2	16	1	0	28	24	29	5	-6.2713	6.2713	-0.0000	0.7378	-4.0695	-0.0000
2	16	2	0	28	18	22	4	-6.2713	6.2713	0.0000	0.7378	0.0000	3.6207
2	16	3	0	28	24	29	5	-6.2713	6.2713	0.0000	0.7378	0.0000	4.0694
2	16	4	0	28	18	22	4	-6.2713	6.2713	0.0000	0.7379	-3.6207	-0.0000
2	16	5	0	28	24	29	5	-6.2713	6.2713	-0.0000	0.7378	-4.0694	0.0000
2	16	6	0	28	18	22	4	-6.2713	6.2713	0.0000	0.7379	-3.6207	-0.0000
2	16	7	0	28	24	29	5	-6.2713	6.2713	-0.0000	0.7379	-4.0694	0.0000
2	16	8	0	28	18	22	4	-6.2713	6.2713	-0.0000	0.7378	-0.0000	3.6207
2	16	9	0	28	24	29	5	-6.2713	6.2713	0.0000	0.7379	0.0000	4.0694
